standard_concept_id,source_code,concept_name,concept_type,domain_id,vocabulary_id
40757037,61783,Stereotactic computer-assisted (navigational) procedure; spinal (List separately in addition to code for primary procedure),radiation,Procedure,CPT4
1242725,G6003,"Radiation treatment delivery, single treatment area,single port or parallel opposed ports, simple blocks or no blocks: up to 5 mev",radiation,Procedure,HCPCS
46275601,53905003210,Methotrexate 25 MG/ML Injectable Solution,chemo,Drug,NDC
40930194,55390033910,Dacarbazine 10 MG/ML Injectable Solution,chemo,Drug,NDC
40224794,54868029004,medroxyprogesterone acetate 10 MG Oral Tablet [Provera],chemo,Drug,NDC
1361277,67457084744,trastuzumab-dkst 21 MG/ML Injectable Solution [Ogivri],chemo,Drug,NDC
2104401,26115,"Excision, tumor or vascular malformation, soft tissue of hand or finger, subcutaneous; less than 1.5 cm",surgery,Procedure,CPT4
42628907,13259691,20 ML idarubicin hydrochloride 1 MG/ML Injection [Idamycin],chemo,Drug,NDC
40224789,247017805,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
1342348,54092017030,Toremifene 60 MG Oral Tablet [Fareston],chemo,Drug,NDC
36408146,15054941,Cyclophosphamide 20 MG/ML Injectable Solution [Cytoxan],chemo,Drug,NDC
40224789,54807055001,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
19022830,68258595503,letrozole 2.5 MG Oral Tablet,chemo,Drug,NDC
46275601,469152040,Methotrexate 25 MG/ML Injectable Solution,chemo,Drug,NDC
45776940,59137050501,0.15 ML methotrexate 50 MG/ML Auto-Injector [Rasuvo],chemo,Drug,NDC
35604259,781306675,5 ML irinotecan hydrochloride 20 MG/ML Injection,chemo,Drug,NDC
19027496,339650499,Interferon Alfa-2b 6000000 UNT/ML Injectable Solution [Intron A],chemo,Drug,NDC
1341151,54868414203,temozolomide 20 MG Oral Capsule [Temodar],chemo,Drug,NDC
4233176,79440,"Radiopharmaceutical therapy, by intra-articular administration",radiation,Procedure,CPT4
19007233,23155026141,carmustine 100 MG Injection [BiCNU],chemo,Drug,NDC
46275912,55390003010,Thiotepa 15 MG Injection,chemo,Drug,NDC
1593012,13746686,Vincristine Sulfate 1 MG/ML Injectable Solution [Vincasar],chemo,Drug,NDC
19075392,44567050901,cisplatin 1 MG/ML Injectable Solution,chemo,Drug,NDC
19102501,54868528902,imatinib 100 MG Oral Tablet [Gleevec],chemo,Drug,NDC
35605640,C9422,"CYTARABINE HCL INJ, BRAND (Deprecated)",chemo,Drug,HCPCS
2748983,0D160ZA,"Bypass Stomach to Jejunum, Open Approach",surgery,Procedure,ICD10PCS
42628910,703415511,10 ML idarubicin hydrochloride 1 MG/ML Injection,chemo,Drug,NDC
42629347,67457039400,10 ML doxorubicin hydrochloride 2 MG/ML Injection,chemo,Drug,NDC
1377163,49884072401,hydroxyurea 500 MG Oral Capsule,chemo,Drug,NDC
1301292,67457019501,melphalan 50 MG Injection,chemo,Drug,NDC
1378385,703476601,paclitaxel 6 MG/ML Injectable Solution,chemo,Drug,NDC
2747486,0D1N4Z4,"Bypass Sigmoid Colon to Cutaneous, Percutaneous Endoscopic Approach",surgery,Procedure,ICD10PCS
1378385,703476881,paclitaxel 6 MG/ML Injectable Solution,chemo,Drug,NDC
40217934,C1805,"Brachytherapy seed, imagyn isostar iodine- 125 interstitial brachytherapy seed (Deprecated)",radiation,Device,HCPCS
35605202,63323014805,5 ML vinorelbine 10 MG/ML Injection,chemo,Drug,NDC
