Category,ExplodedSiteRange,WHOCode,Rollup,Rollup2,SiteRange,HistologyExplode
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8776
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8775
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8774
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8773
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8772
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8771
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8770
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8769
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8768
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8767
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8766
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8765
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8764
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8763
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8762
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8761
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8760
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8759
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8758
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8757
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8756
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8755
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8754
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8753
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8752
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8751
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8750
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8749
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8748
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8747
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8746
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8745
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8744
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8743
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8742
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8741
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8740
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8739
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8738
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8737
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8736
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8735
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8734
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8733
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8732
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8731
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8730
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8729
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8728
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8727
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8726
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8725
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8724
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8723
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8722
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8721
Melanoma of the Skin,447,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8720
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8790
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8789
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8788
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8787
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8786
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8785
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8784
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8783
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8782
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8781
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8780
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8779
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8778
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8777
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8776
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8775
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8774
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8773
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8772
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8771
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8770
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8769
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8768
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8767
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8766
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8765
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8764
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8763
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8762
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8761
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8760
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8759
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8758
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8757
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8756
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8755
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8754
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8753
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8752
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8751
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8750
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8749
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8748
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8747
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8746
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8745
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8744
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8743
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8742
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8741
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8740
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8739
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8738
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8737
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8736
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8735
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8734
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8733
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8732
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8731
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8730
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8729
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8728
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8727
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8726
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8725
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8724
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8723
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8722
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8721
Melanoma of the Skin,448,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8720
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8790
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8789
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8788
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8787
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8786
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8785
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8784
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8783
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8782
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8781
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8780
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8779
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8778
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8777
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8776
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8775
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8774
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8773
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8772
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8771
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8770
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8769
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8768
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8767
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8766
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8765
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8764
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8763
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8762
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8761
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8760
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8759
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8758
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8757
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8756
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8755
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8754
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8753
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8752
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8751
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8750
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8749
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8748
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8747
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8746
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8745
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8744
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8743
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8742
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8741
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8740
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8739
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8738
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8737
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8736
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8735
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8734
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8733
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8732
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8731
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8730
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8729
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8728
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8727
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8726
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8725
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8724
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8723
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8722
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8721
Melanoma of the Skin,449,25010,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,C440-C449,8720
Other Non-Epithelial Skin,440,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Other Non-Epithelial Skin,441,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Other Non-Epithelial Skin,442,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Other Non-Epithelial Skin,443,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Other Non-Epithelial Skin,444,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Other Non-Epithelial Skin,445,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Other Non-Epithelial Skin,446,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Other Non-Epithelial Skin,447,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Other Non-Epithelial Skin,448,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Other Non-Epithelial Skin,449,25020,Skin excluding Basal and Squamous,Skin excluding Basal and Squamous,null,null
Breast,500,26000,Breast,Breast,null,null
Breast,501,26000,Breast,Breast,null,null
Breast,502,26000,Breast,Breast,null,null
Breast,503,26000,Breast,Breast,null,null
Breast,504,26000,Breast,Breast,null,null
Breast,505,26000,Breast,Breast,null,null
Breast,506,26000,Breast,Breast,null,null
Breast,507,26000,Breast,Breast,null,null
Breast,508,26000,Breast,Breast,null,null
Breast,509,26000,Breast,Breast,null,null
Cervix Uteri,530,27010,Female genital system,Female genital system,null,null
Cervix Uteri,531,27010,Female genital system,Female genital system,null,null
Cervix Uteri,532,27010,Female genital system,Female genital system,null,null
Cervix Uteri,533,27010,Female genital system,Female genital system,null,null
Cervix Uteri,534,27010,Female genital system,Female genital system,null,null
Cervix Uteri,535,27010,Female genital system,Female genital system,null,null
Cervix Uteri,536,27010,Female genital system,Female genital system,null,null
Cervix Uteri,537,27010,Female genital system,Female genital system,null,null
Cervix Uteri,538,27010,Female genital system,Female genital system,null,null
Cervix Uteri,539,27010,Female genital system,Female genital system,null,null
Corpus Uteri,540,27020,"Corpus and Uterus, NOS",Female genital system,null,null
Corpus Uteri,541,27020,"Corpus and Uterus, NOS",Female genital system,null,null
Corpus Uteri,542,27020,"Corpus and Uterus, NOS",Female genital system,null,null
Corpus Uteri,543,27020,"Corpus and Uterus, NOS",Female genital system,null,null
Corpus Uteri,544,27020,"Corpus and Uterus, NOS",Female genital system,null,null
Corpus Uteri,545,27020,"Corpus and Uterus, NOS",Female genital system,null,null
Corpus Uteri,546,27020,"Corpus and Uterus, NOS",Female genital system,null,null
Corpus Uteri,547,27020,"Corpus and Uterus, NOS",Female genital system,null,null
Corpus Uteri,548,27020,"Corpus and Uterus, NOS",Female genital system,null,null
Corpus Uteri,549,27020,"Corpus and Uterus, NOS",Female genital system,null,null
"Uterus, NOS",559,27030,"Corpus and Uterus, NOS",Female genital system,null,null
Ovary,569,27040,"Corpus and Uterus, NOS",Female genital system,null,null
Vagina,529,27050,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,510,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,511,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,512,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,513,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,514,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,515,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,516,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,517,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,518,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Vulva,519,27060,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,570,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,571,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,572,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,573,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,574,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,575,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,576,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,577,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,578,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,579,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Other Female Genital Organs,589,27070,"Corpus and Uterus, NOS",Female genital system,null,null
Prostate,619,28010,Male genital system,Male genital system,null,null
Testis,620,28020,Male genital system,Male genital system,null,null
Testis,621,28020,Male genital system,Male genital system,null,null
Testis,622,28020,Male genital system,Male genital system,null,null
Testis,623,28020,Male genital system,Male genital system,null,null
Testis,624,28020,Male genital system,Male genital system,null,null
Testis,625,28020,Male genital system,Male genital system,null,null
Testis,626,28020,Male genital system,Male genital system,null,null
Testis,627,28020,Male genital system,Male genital system,null,null
Testis,628,28020,Male genital system,Male genital system,null,null
Testis,629,28020,Male genital system,Male genital system,null,null
Penis,600,28030,Male genital system,Male genital system,null,null
Penis,601,28030,Male genital system,Male genital system,null,null
Penis,602,28030,Male genital system,Male genital system,null,null
Penis,603,28030,Male genital system,Male genital system,null,null
Penis,604,28030,Male genital system,Male genital system,null,null
Penis,605,28030,Male genital system,Male genital system,null,null
Penis,606,28030,Male genital system,Male genital system,null,null
Penis,607,28030,Male genital system,Male genital system,null,null
Penis,608,28030,Male genital system,Male genital system,null,null
Penis,609,28030,Male genital system,Male genital system,null,null
Other Male Genital Organs,630,28040,Male genital system,Male genital system,null,null
Other Male Genital Organs,631,28040,Male genital system,Male genital system,null,null
Other Male Genital Organs,632,28040,Male genital system,Male genital system,null,null
Other Male Genital Organs,633,28040,Male genital system,Male genital system,null,null
